Condition,Trial,Stim_place,Stimuli_file,Condition_1.thisRepN,Condition_1.thisTrialN,Condition_1.thisN,Condition_1.thisIndex,Second_Condition.thisRepN,Second_Condition.thisTrialN,Second_Condition.thisN,Second_Condition.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Still,go,"(0, 0)",grey_circle.png,0,9,9,0,,,,,,,,,,,159.83120270003565,160.83122940012254,161.33122029993683,161.5813154000789,space,161.33122029993683,159.3474071000237,0.28725480008870363,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,go,"(0, 0)",grey_circle.png,0,10,10,15,,,,,,,,,,,162.14796549989842,163.1479162001051,163.6480179000646,163.89788169995882,space,163.6480179000646,None,0.3543972000479698,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,go,"(0, 0)",grey_circle.png,0,11,11,11,,,,,,,,,,,164.53125070012175,165.53122689994052,166.03124599996954,166.28144189994782,space,166.03124599996954,None,0.3231583000160754,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,go,"(0, 0)",grey_circle.png,0,12,12,3,,,,,,,,,,,166.88128000008874,167.8814234000165,168.38134610000998,168.63120650011115,space,168.38134610000998,None,0.35689779999665916,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,13,13,28,,,,,,,,,,,169.2472884999588,170.24795099999756,170.74791679996997,170.9981394999195,None,170.74791679996997,None,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,14,14,26,,,,,,,,,,,172.7312509000767,173.73125079995953,174.23125570011325,174.48109170002863,None,174.23125570011325,172.2475922999438,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,go,"(0, 0)",grey_circle.png,0,15,15,10,,,,,,,,,,,176.21472569997422,177.21459369990043,177.7147321999073,177.9646195000969,space,177.7147321999073,175.73072859994136,0.30369299999438226,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,go,"(0, 0)",grey_circle.png,0,16,16,4,,,,,,,,,,,178.54776079999283,179.54786189994775,180.04734409996308,180.29785580001771,space,180.04734409996308,None,0.3871654001995921,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,go,"(0, 0)",grey_circle.png,0,17,17,7,,,,,,,,,,,180.96461070002988,181.96461379993707,182.46475509996526,182.71453260001726,space,182.46475509996526,None,0.30589079996570945,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,18,18,21,,,,,,,,,,,183.29806760000065,184.2979568000883,184.7980593999382,185.04814759991132,None,184.7980593999382,None,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,19,19,25,,,,,,,,,,,186.7813707999885,187.78128789993934,188.28121910011396,188.53132049995475,None,188.28121910011396,186.29715629993007,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,20,20,27,,,,,,,,,,,190.28139219991863,191.28136679995805,191.7814195000101,192.03139550006017,None,191.7814195000101,189.78224979992956,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,21,21,20,,,,,,,,,,,193.76456149993464,194.7646419000812,195.26467279996723,195.51474049990065,None,195.26467279996723,193.28073989995755,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,22,22,24,,,,,,,,,,,197.24792429991066,198.24800790008157,198.74806870007887,198.99827360012569,None,198.74806870007887,196.7639826000668,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
